시장명,청년몰명칭,전체 점포,휴폐업,MONEY,result,x,y,음식업,공방,도소매업,서비스업,Bus_st_num_500m,Bus_st_num_1k,Ur_rail_num_500m,Ur_rail_num_1k,Bus_te_num_2k,Bus_te_num_3k,Bus_te_num_2_3k,spot_num_3k,spot_num_5k,spot_num_3_5k,univ_num_1k,parking_num_500m,parking_car_num_500m,parking_car_compartment,Mart_num_1.5k,ur_park_num_165m,Cul_hall_num_3k,Cul_hall_num3_5k
경동시장,서울훼미리,20,1,661,95,37.57902684,127.0388509,14,3,3,0,23,94,1,4,0,0,0,0,4,4,0,5,365,18,1,0,2,1
이대앞스타트업상점가,이화52번가,22,10,953,54.54545455,37.55939644,126.9450396,9,2,0,1,41,137,2,3,0,0,0,0,0,0,4,0,0,0,0,0,3,2
국제시장,109인 청년몰,14,14,697,0,35.10253922,129.0281113,0,0,0,0,0,16,0,4,0,0,0,23,30,7,0,7,525,38,1,0,1,1
서면시장,온나,17,2,"1,370",88.23529412,35.15554491,129.0581093,10,3,0,1,18,39,3,9,0,0,0,3,10,7,0,0,0,0,1,0,1,2
약령시장,청춘단장,19,1,1588,94.73684211,35.86839221,128.5909947,8,0,8,1,37,142,3,7,0,0,0,2,7,5,0,33,1586,83,1,0,3,3
현풍백년도꺠비시장,현이와 풍이의 청춘신난장,19,2,692,89.47368421,35.69532763,128.4454642,12,3,1,3,20,72,0,0,0,0,0,0,0,0,0,5,255,13,0,1,0,0
산격종합시장,신다림길,12,4,473,66.66666667,35.89830351,128.6106385,9,0,0,1,28,92,0,0,0,0,0,4,6,2,1,0,0,0,1,0,2,2
신포시장,눈꽃마을,21,11,"1,468",47.61904762,37.47172477,126.6276865,1,1,0,2,24,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
강화중앙시장,개벽2333,20,19,"1,668.00",5,37.74748636,126.4841232,2,0,0,0,11,36,0,0,0,0,0,0,0,0,0,9,642,32,0,0,1,0
중앙메가프라자,청년구단,17,13,"1,117.00",23.52941176,36.32690169,127.4339924,8,1,0,1,43,174,0,3,0,1,1,3,4,1,0,8,1216,72,0,0,1,0
신정평화시장,키즈와맘,19,1,446,94.73684211,35.53843414,129.3035853,9,1,1,0,21,91,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
신안코아,톡,20,0,490,100,37.2940678,126.8663887,13,0,0,7,27,100,0,2,0,0,0,0,2,2,0,2,85,4,0,0,0,1
통복시장,청년숲,19,2,"1,758",89.47368421,36.99722365,127.0839697,12,0,0,0,22,95,0,1,1,1,0,0,0,0,0,6,592,31,0,0,1,0
영동시장,28청춘,28,5,528,82.14285714,37.27750612,127.0185756,7,9,4,3,21,59,0,0,1,1,0,0,0,0,0,0,0,0,1,1,2,1
삼척중앙시장,청춘해,24,0,951,100,37.44222132,129.1651334,12,3,1,3,15,29,0,0,1,1,0,0,2,2,0,1,23,1,1,0,1,0
정선아리랑시장,청아랑,15,3,836,80,37.38050341,128.6651911,6,2,2,0,6,15,0,0,1,1,0,0,0,0,0,1,70,5,0,0,2,0
정선사북시장,별애별청년몰,10,0,1025,100,37.22813333,128.8179458,7,0,3,0,6,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
속초중앙시장,갯배st,20,0,"2,146",100,38.20265016,128.59229,13,2,2,2,8,20,0,0,1,1,0,1,2,1,0,0,0,0,1,0,1,0
원주중앙시장,미로예술중앙시장,18,1,1053,94.44444444,37.34951356,127.9501982,6,8,1,2,18,51,0,0,0,1,1,0,0,0,0,5,598,33,0,0,2,0
춘천중앙시장,육림고개,20,4,579,80,37.87752129,127.727136,13,4,1,0,17,64,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0
관아골상가,청춘대로,16,2,824,87.5,36.97073606,127.9343733,1,2,2,8,33,74,0,0,0,1,1,0,1,1,0,2,184,12,1,1,1,0
제천중앙시장,청년제천몰,19,18,626,5.263157895,37.13677433,128.2113175,1,0,1,0,21,78,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0
천안명동대흥로상점가,흥흥발전소,13,1,784,92.30769231,36.80841949,127.1486152,4,3,3,1,25,86,1,1,1,1,0,0,2,2,0,5,466,36,1,0,1,0
금산시장,금빛시장 청년몰,18,4,457,77.77777778,36.09950164,127.4913755,7,1,3,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0
진안고원시장,진안고원시장청년몰,10,1,904,90,35.79316813,127.4291442,4,0,4,2,10,16,0,0,1,1,0,0,1,1,0,15,824,82,0,0,0,0
김제전통시장,아리락,10,1,1227,90,35.80114289,126.8844662,9,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0
전주서부시장,청춘시전,12,4,243,66.66666667,35.80496789,127.1265586,3,0,1,2,12,41,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1
군산공설시장,물랑루즈,14,5,606,64.28571429,35.98372696,126.7204214,5,2,3,0,15,45,0,0,1,1,0,0,2,2,0,7,353,25,1,0,1,0
삼례시장,삼삼오오,10,4,1068,60,35.91034877,127.0731651,3,2,2,2,16,31,0,0,0,0,0,5,5,0,1,6,678,68,0,0,1,0
여수중앙시장,꿈뜨락몰,26,12,927,53.84615385,34.74072424,127.7325304,13,1,1,2,38,94,0,0,0,1,1,5,5,0,0,6,533,21,0,0,1,0
문경중앙시장,오!미자네 청년몰,10,2,432,80,36.59362194,128.1979675,3,0,1,3,6,17,0,0,0,0,0,0,0,0,0,12,1057,106,1,0,1,0
안동중앙시장,오고가게,20,5,695,75,36.56502994,128.7238916,13,1,0,1,17,54,0,0,1,1,0,0,1,1,0,10,513,26,1,0,1,0
선산봉화시장,황제청년몰,20,6,397,70,36.23979899,128.3011118,4,6,3,3,13,27,0,0,0,0,0,0,0,0,0,5,220,11,0,0,0,0
북부상가시장,욜로몰,18,6,702,66.66666667,35.85357327,129.2076179,6,0,3,3,7,18,0,0,1,1,0,0,0,0,0,0,0,0,0,1,2,0
진주중앙지하도상가,황금상점,20,2,1027,90,35.19794176,128.084898,3,8,2,7,18,60,0,0,1,1,0,1,1,0,0,0,0,0,1,1,1,0
진주중앙시장,비단길청년몰,11,4,762,63.63636364,35.19440664,128.0851952,9,0,0,0,24,66,0,0,1,1,0,1,2,1,0,0,0,0,1,0,1,0
김해동상시장,동춘씨,14,2,746,85.71428571,35.23642274,128.8838943,9,1,1,3,21,46,0,0,1,1,0,6,6,0,0,1,36,3,1,0,1,0
제주중앙로상점가,생기발랄,16,2,1019,87.5,33.5127368,126.5252855,8,2,5,0,19,58,0,0,0,0,0,0,0,0,0,1,10,1,1,0,1,1