순번,학제,학교명,주소,X,Y
1,대학교,강릉원주대학교,"강원도 강릉시 죽헌길 7 (지변동, 강릉원주대학교)",128.8700127,37.7695146
2,대학교,강릉원주대학교,"강원도 원주시 흥업면 남원로 150 (흥업리, 강릉원주대학교원주캠퍼스)",127.9226492,37.3047711
3,대학교,강원대학교,"강원도 춘천시 강원대학길 1 (효자동, 강원대학교)",127.7443761,37.8693008
4,대학교,강원대학교,"강원도 삼척시 중앙로 346 (교동, 강원대학교삼척캠퍼스)",129.1586136,37.4537641
5,대학교,경북대학교,"대구광역시 북구 대학로 80 (산격동, 경북대학교)",128.6152824,35.8906998
6,대학교,경상대학교,"경상남도 진주시 진주대로 501 (가좌동, 경상대학교)",128.0980365,35.1534251
7,대학교,공주대학교,"충청남도 공주시 공주대학로 56 (신관동, 공주대학교)",127.1409268,36.4691788
8,대학교,군산대학교,"전라북도 군산시 대학로 558 (미룡동, 군산대학교)",126.682007,35.9459959
9,대학교,금오공과대학교,"경상북도 구미시 대학로 61 (양호동, 금오공과대학교)",128.3923457,36.1459196
10,대학교,목포대학교,"전라남도 무안군 청계면 영산로 1666 (도림리, 목포대학교)",126.4372034,34.9108306
11,대학교,목포해양대학교,"전라남도 목포시 해양대학로 91 (죽교동, 목포해양대학교)",126.3648484,34.7918188
12,대학교,부경대학교,"부산광역시 남구 용소로 45 (대연동, 부경대학교대연캠퍼스)",129.1050108,35.1338959
13,대학교,부산대학교,"부산광역시 금정구 부산대학로63번길 2 (장전동, 부산대학교)",129.0820249,35.2325792
14,대학교,서울대학교,"서울특별시 관악구 관악로 1 (신림동, 서울대학교)",126.9526673,37.4589025
15,대학교,순천대학교,"전라남도 순천시 중앙로 255 (석현동, 순천대학교)",127.4802297,34.9687174
16,대학교,안동대학교,"경상북도 안동시 경동로 1375 (송천동, 안동대학교)",128.7973432,36.5427224
17,대학교,전남대학교,"광주광역시 북구 용봉로 77 (용봉동, 전남대학교)",126.9088123,35.1777022
18,대학교,전남대학교,"전라남도 여수시 대학로 50 (둔덕동, 전남대학교여수캠퍼스)",127.6994307,34.7749187
19,대학교,전북대학교,"전라북도 전주시 덕진구 백제대로 567 (금암동, 전북대학교)",127.1313893,35.8462511
20,대학교,제주대학교,"제주특별자치도 제주시 제주대학로 102 (아라일동, 제주대학교)",126.5668686,33.4521489
21,대학교,창원대학교,"경상남도 창원시 의창구 창원대학로 20 (사림동, 창원대학교)",128.6940505,35.2450886
22,대학교,충남대학교,"대전광역시 유성구 대학로 99 (궁동, 충남대학교)",127.3461023,36.3693341
23,대학교,충북대학교,"충청북도 청주시 서원구 충대로 1 (개신동, 충북대학교)",127.4594173,36.6257764
24,대학교,한국교원대학교,"충청북도 청주시 흥덕구 강내면 태성탑연로 250 (다락리, 한국교원대학교)",127.3593191,36.6105636
25,대학교,한국체육대학교,"서울특별시 송파구 양재대로 1239 (방이동, 한국체육대학교)",127.1308897,37.5201508
26,대학교,한국해양대학교,"부산광역시 영도구 태종로 727 (동삼동, 한국해양대학교)",129.089244,35.0762323
27,대학교,한국교통대학교,"충청북도 충주시 대소원면 대학로 50 (검단리, 한국교통대학교)",127.8719267,36.9737209
28,대학교,경남과학기술대학교,"경상남도 진주시 동진로 33 (칠암동, 경남과학기술대학교)",128.0941716,35.1807508
29,대학교,서울과학기술대학교,"서울특별시 노원구 공릉로 232 (공릉동, 서울과학기술대학교)",127.0791469,37.6312987
30,대학교,한경대학교,경기도 안성시 중앙로 327 (석정동),127.2638354,37.0117798
31,대학교,한밭대학교,"대전광역시 유성구 동서대로 125 (덕명동, 한밭대학교)",127.3019498,36.3494283
32,대학교,서울시립대학교,"서울특별시 동대문구 서울시립대로 163 (전농동, 서울시립대학교)",127.0593455,37.5834417
33,대학교,인천대학교,"인천광역시 연수구 아카데미로 119 (송도동, 인천대학교)",126.6325293,37.3750794
34,대학교,가야대학교,경상남도 김해시 삼계로 208 (삼계동),128.8731675,35.2691047
35,대학교,가야대학교,"경상북도 고령군 대가야읍 대가야로 1103 (지산리, 가야대학교)",128.2514541,35.716044
36,대학교,가톨릭대학교,"경기도 부천시 원미구 지봉로 43 (역곡동, 가톨릭대학교성심교정)",126.8012177,37.4864044
37,대학교,가톨릭대학교,"서울특별시 서초구 반포대로 222 (반포동, 가톨릭대학교 성모병원)",127.0055016,37.5004919
38,대학교,가톨릭대학교,"서울특별시 종로구 창경궁로 296-12 (혜화동, 가톨릭대학교성신교정)",127.0049103,37.5858697
39,대학교,감리교신학대학교,"서울특별시 서대문구 독립문로 56 (냉천동, 감리교신학대학)",126.9619705,37.5674792
40,대학교,강남대학교,"경기도 용인시 기흥구 강남로 40 (구갈동, 강남대학교)",127.1328898,37.2762453
41,대학교,건국대학교,"서울특별시 광진구 능동로 120 (화양동, 건국대학교)",127.0786998,37.5407767
42,대학교,건국대학교,"충청북도 충주시 충원대로 268 (단월동, 건국대학교GLOCAL캠퍼스)",127.9074482,36.9492422
43,대학교,건양대학교,"충청남도 논산시 대학로 121 (내동, 건양대학교)",127.1104691,36.1827249
44,대학교,건양대학교,"대전광역시 서구 관저동로 158 (관저동, 건양대학교병원)",127.3430782,36.3074832
45,대학교,경기대학교,"경기도 수원시 영통구 광교산로 154-42 (이의동, 경기대학교)",127.0359388,37.3009961
46,대학교,경기대학교,"서울특별시 서대문구 경기대로9길 24 (충정로2가, 경기대학교)",126.9621232,37.5646332
47,대학교,경남대학교,"경상남도 창원시 마산합포구 경남대학로 7 (월영동, 경남대학교)",128.5537331,35.1817753
48,대학교,경동대학교,"강원도 고성군 토성면 봉포4길 46 (봉포리, 경동대학교)",128.5562091,38.2497967
49,대학교,경동대학교,"강원도 원주시 문막읍 견훤로 815 (후용리, 경동대학교)",127.7937966,37.2653912
50,대학교,경동대학교,경기도 양주시 경동대학로 27 (고암동),127.0695982,37.8106979
51,대학교,대구한의대학교,"경상북도 경산시 한의대로 1 (유곡동, 대구한의대학교)",128.7756223,35.7949896
52,대학교,경성대학교,"부산광역시 남구 수영로 309 (대연동, 경성대학교)",129.0979252,35.1398103
53,대학교,가천대학교,"경기도 성남시 수정구 성남대로 1342 (복정동, 가천대학교)",127.1352567,37.4563609
54,대학교,경일대학교,"경상북도 경산시 하양읍 가마실길 50 (부호리, 경일대학교)",128.8008603,35.9087133
55,대학교,경주대학교,"경상북도 경주시 태종로 188 (효현동, 경주대학교)",129.1620223,35.82973
56,대학교,경희대학교,"서울특별시 동대문구 경희대로 26 (회기동, 경희대학교)",127.0528498,37.5956979
57,대학교,계명대학교,"대구광역시 달서구 달구벌대로 1095 (신당동, 계명대학교성서캠퍼스)",128.4833046,35.8558093
58,대학교,고려대학교,"서울특별시 성북구 안암로 145 (안암동5가, 고려대학교안암캠퍼스(인문사회계))",127.0265604,37.5883659
59,대학교,고려대학교 세종캠퍼스,"세종특별자치시 조치원읍 세종로 2511 (서창리, 고려대학교세종캠퍼스)",127.2879612,36.611177
60,대학교,고신대학교,"부산광역시 영도구 와치로 194 (동삼동, 고신대학교)",129.0630665,35.079268
61,대학교,가톨릭관동대학교,"강원도 강릉시 범일로579번길 24 (내곡동, 가톨릭관동대학교)",128.8742424,37.7363799
62,대학교,광신대학교,"광주광역시 북구 양산택지소로 36 (본촌동, 광신대학교)",126.8851055,35.2158038
63,대학교,광운대학교,"서울특별시 노원구 광운로 20 (월계동, 광운대학교)",127.0597402,37.6195584
64,대학교,광주가톨릭대학교,"전라남도 나주시 남평읍 중남길 12-25 (남석리, 광주가톨릭대학교)",126.8637191,35.0160202
65,대학교,광주여자대학교,"광주광역시 광산구 여대길 201 (산정동, 광주여자대학교)",126.7962291,35.1635838
66,대학교,국민대학교,"서울특별시 성북구 정릉로 77 (정릉동, 국민대학교)",126.9973164,37.6109262
67,대학교,케이씨대학교,"서울특별시 강서구 까치산로24길 47 (화곡동, 그리스도대학교)",126.8542091,37.5481826
68,대학교,극동대학교,"충청북도 음성군 감곡면 대학길 76-32 (왕장리, 극동대학교)",127.6439835,37.1274967
69,대학교,나사렛대학교,"충청남도 천안시 서북구 월봉로 48 (쌍용동, 나사렛대학교)",127.1187019,36.7969672
70,대학교,단국대학교,"경기도 용인시 수지구 죽전로 152 (죽전동, 단국대학교죽전캠퍼스)",127.1275399,37.3206296
71,대학교,단국대학교,"충청남도 천안시 동남구 단대로 119 (안서동, 단국대학교천안캠퍼스)",127.172087,36.8414626
72,대학교,대구대학교,"경상북도 경산시 진량읍 대구대로 201 (내리리, 대구대학교경산캠퍼스)",128.8486917,35.9018504
73,대학교,대구예술대학교,"경상북도 칠곡군 가산면 다부거문1길 202 (다부리, 대구예술대학교)",128.5093122,36.0320522
74,대학교,대구가톨릭대학교,"경상북도 경산시 하양읍 하양로 13-13 (금락리, 대구가톨릭대학교)",128.807664,35.9121197
75,대학교,세한대학교,"전라남도 영암군 삼호읍 녹색로 1113 (산호리, 세한대학교)",126.4841288,34.7464909
76,대학교,대신대학교,"경상북도 경산시 경청로222길 33 (백천동, 대신대학교)",128.7450389,35.8039168
77,대학교,대전가톨릭대학교,"세종특별자치시 전의면 가톨릭대학로 30 (신방리, 대전가톨릭대학교)",127.1968009,36.6553055
78,대학교,대전대학교,"대전광역시 동구 대학로 62 (용운동, 대전대학교)",127.460542,36.3350274
79,대학교,대진대학교,"경기도 포천시 호국로 1007 (선단동, 대진대학교)",127.156511,37.8716387
80,대학교,서울기독대학교,"서울특별시 은평구 갈현로4길 26-2 (신사동, 서울기독대학교)",126.9121413,37.6009452
81,대학교,덕성여자대학교,"서울특별시 도봉구 삼양로144길 33 (쌍문동, 덕성여자대학교)",127.0163814,37.6511104
82,대학교,동국대학교,"서울특별시 중구 필동로1길 30 (장충동2가, 동국대학교)",127.0003103,37.5581509
83,대학교,동국대학교,"경상북도 경주시 동대로 123 (석장동, 동국대학교경주캠퍼스)",129.1933626,35.8635452
84,대학교,동덕여자대학교,"서울특별시 성북구 화랑로13길 60 (하월곡동, 동덕여자대학교)",127.042549,37.6068688
85,대학교,동서대학교,"부산광역시 사상구 주례로 47 (주례동, 동서대학교)",129.0070118,35.1461164
86,대학교,동신대학교,"전라남도 나주시 동신대길 67 (대호동, 동신대학교중앙도서관동)",126.7179977,35.0496231
87,대학교,동아대학교,"부산광역시 사하구 낙동대로550번길 37 (하단동, 동아대학교)",128.9684605,35.1165763
88,대학교,동양대학교,"경상북도 영주시 풍기읍 동양대로 145 (산법리, 동양대학교)",128.5378231,36.881041
89,대학교,동의대학교,"부산광역시 부산진구 엄광로 176 (가야동, 동의대학교)",129.0347941,35.1422948
90,대학교,루터대학교,"경기도 용인시 기흥구 금화로82번길 20 (상갈동, 루터대학교)",127.112701,37.2651204
91,대학교,명지대학교 자연캠퍼스,"경기도 용인시 처인구 명지로 116 (남동, 명지대학교용인캠퍼스)",127.1863662,37.2222797
92,대학교,명지대학교 인문캠퍼스,"서울특별시 서대문구 거북골로 34 (남가좌동, 명지대학교)",126.923028,37.5802584
93,대학교,목원대학교,"대전광역시 서구 도안북로 88 (도안동, 목원대학교)",127.3387581,36.3259079
94,대학교,배재대학교,"대전광역시 서구 배재로 155-40 (도마동, 배재대학교)",127.3664044,36.3200824
95,대학교,부산가톨릭대학교,"부산광역시 금정구 오륜대로 57 (부곡동, 부산가톨릭대학교)",129.0977239,35.2448317
96,대학교,부산외국어대학교,"부산광역시 금정구 금샘로485번길 65 (남산동, 부산외국어대학교)",129.0794359,35.2668454
97,대학교,삼육대학교,"서울특별시 노원구 화랑로 815 (공릉동, 삼육대학교)",127.1040265,37.6426091
98,대학교,상명대학교,"서울특별시 종로구 홍지문2길 20 (홍지동, 상명대학교)",126.9550094,37.6030806
99,대학교,상명대학교,"충청남도 천안시 동남구 상명대길 31 (안서동, 상명대학교천안캠퍼스)",127.1794241,36.8336914
100,대학교,상지대학교,"강원도 원주시 상지대길 83 (우산동, 상지대학교)",127.927335,37.370573
101,대학교,서강대학교,"서울특별시 마포구 백범로 35 (신수동, 서강대학교)",126.9406918,37.5513328
102,대학교,서경대학교,"서울특별시 성북구 서경로 124 (정릉동, 서경대학)",127.0125722,37.6152626
103,대학교,서울신학대학교,"경기도 부천시 소사구 호현로489번길 52 (소사본동, 서울신학대학교)",126.7891907,37.4791546
104,대학교,서울여자대학교,"서울특별시 노원구 화랑로 621 (공릉동, 서울여자대학교)",127.0898733,37.6305801
105,대학교,서울장신대학교,"경기도 광주시 경안로 145 (경안동, 서울장신대학교)",127.2459715,37.4100471
106,대학교,서원대학교,"충청북도 청주시 서원구 무심서로 377-3 (모충동, 서원대학교)",127.4828826,36.6262501
107,대학교,선문대학교,"충청남도 아산시 탕정면 선문로221번길 70 (갈산리, 선문대학교)",127.0735802,36.7986429
108,대학교,성결대학교,"경기도 안양시 만안구 성결대학로 53 (안양동, 성결대학교)",126.9286741,37.3801425
109,대학교,성공회대학교,"서울특별시 구로구 연동로 320 (항동, 성공회대학교)",126.8257373,37.4874977
110,대학교,성균관대학교,"서울특별시 종로구 성균관로 25-2 (명륜3가, 성균관대학교)",126.9934361,37.5878898
111,대학교,성신여자대학교,"서울특별시 성북구 보문로34다길 2 (돈암동, 성신여자대학교)",127.0217818,37.5918494
112,대학교,세명대학교,"충청북도 제천시 세명로 65 (신월동, 세명대학교)",128.1973291,37.1780603
113,대학교,세종대학교,"서울특별시 광진구 능동로 209 (군자동, 세종대학교)",127.0741412,37.5507067
114,대학교,수원가톨릭대학교,"경기도 화성시 봉담읍 왕림1길 67 (왕림리, 수원가톨릭대학교)",126.9342372,37.1940938
115,대학교,수원대학교,"경기도 화성시 봉담읍 와우안길 17 (와우리, 수원대학교)",126.9770254,37.2092939
116,대학교,숙명여자대학교,"서울특별시 용산구 청파로47길 100 (청파동2가, 숙명여자대학교)",126.9646326,37.5460669
117,대학교,순천향대학교,"충청남도 아산시 신창면 순천향로 22 (읍내리, 순천향대학교)",126.9329913,36.7682855
118,대학교,숭실대학교,"서울특별시 동작구 상도로 369 (상도동, 숭실대학교)",126.9569164,37.4963876
119,대학교,신라대학교,"부산광역시 사상구 백양대로700번길 140 (괘법동, 신라대학교)",128.9969555,35.1682927
120,대학교,아세아연합신학대학교,"경기도 양평군 옥천면 경강로 1276 (아신리, 아세아연합신학대학교)",127.4277711,37.5111044
121,대학교,아주대학교,"경기도 수원시 영통구 월드컵로 206 (원천동, 아주대학교)",127.0466759,37.2814215
122,대학교,안양대학교,"경기도 안양시 만안구 삼덕로37번길 22 (안양동, 안양대학교)",126.9198968,37.391434
123,대학교,안양대학교,"인천광역시 강화군 불은면 중앙로 602-14 (삼성리, 안양대학교강화캠퍼스)",126.444988,37.7111653
124,대학교,연세대학교,"서울특별시 서대문구 연세로 50 (신촌동, 연세대학교)",126.9391381,37.5651317
125,대학교,영남대학교,"경상북도 경산시 대학로 280 (대동, 영남대학교)",128.7582144,35.8304773
126,대학교,영남신학대학교,"경상북도 경산시 진량읍 봉회1길 26 (봉회리, 영남신학대학교)",128.817183,35.8810416
127,대학교,유원대학교,"충청북도 영동군 영동읍 대학로 310 (설계리, U1대학교)",127.8011369,36.1971214
128,대학교,영산선학대학교,전라남도 영광군 백수읍 성지로 1357 (길용리),126.4420125,35.3270552
129,대학교,용인대학교,"경기도 용인시 처인구 용인대학로 134 (삼가동, 용인대학교)",127.1686592,37.2268335
130,대학교,우석대학교,"전라북도 완주군 삼례읍 삼례로 443 (후정리, 우석대학교)",127.0665152,35.9126406
131,대학교,울산대학교,"울산광역시 남구 대학로 93 (무거동, 울산대학교)",129.2569459,35.5444448
132,대학교,원광대학교,"전라북도 익산시 익산대로 460 (신동, 원광대학교)",126.9587513,35.9681472
133,대학교,위덕대학교,"경상북도 경주시 강동면 동해대로 261 (유금리, 위덕대학교)",129.2831246,36.0130658
134,대학교,을지대학교,"대전광역시 중구 계룡로771번길 77 (목동, 을지대학교대전캠퍼스)",127.4053537,36.3328098
135,대학교,을지대학교,"경기도 성남시 수정구 산성대로 553 (양지동, 을지대학교)",127.1649717,37.4604852
136,대학교,이화여자대학교,"서울특별시 서대문구 이화여대길 52 (대현동, 이화여자대학교)",126.9469295,37.5624533
137,대학교,인제대학교,"경상남도 김해시 인제로 197 (어방동, 인제대학교)",128.9018283,35.2499293
138,대학교,인제대학교,"부산광역시 부산진구 복지로 75 (개금동, 부산백병원)",129.0206944,35.1459388
139,대학교,인천가톨릭대학교,인천광역시 강화군 양도면 고려왕릉로 53-1 (도장리),126.4478471,37.6567122
140,대학교,인천가톨릭대학교,"인천광역시 연수구 해송로 12 (송도동, 인천가톨릭대학교)",126.6446568,37.3831392
141,대학교,인하대학교,"인천광역시 남구 인하로 100 (용현동, 인하대학교)",126.6590547,37.4489615
142,대학교,장로회신학대학교,"서울특별시 광진구 광장로5길 25-1 (광장동, 장로회신학대학교)",127.1038554,37.550161
143,대학교,전주대학교,"전라북도 전주시 완산구 천잠로 303 (효자동2가, 전주대학교)",127.0876241,35.8138404
144,대학교,조선대학교,"광주광역시 동구 필문대로 309 (서석동, 조선대학교)",126.9304563,35.1412269
145,대학교,중부대학교,"충청남도 금산군 추부면 대학로 201 (마전리, 중부대학교)",127.4518134,36.1942469
146,대학교,중앙대학교 서울캠퍼스,"서울특별시 동작구 흑석로 84 (흑석동, 중앙대학교)",126.9545113,37.5058543
147,대학교,중앙대학교 안성캠퍼스,"경기도 안성시 대덕면 서동대로 4726 (내리, 중앙대학교)",127.2292662,37.0044324
148,대학교,중앙승가대학교,경기도 김포시 승가로 123 (풍무동),126.7061467,37.6049124
149,대학교,백석대학교,"충청남도 천안시 동남구 문암로 76 (안서동, 백석대학교)",127.1850493,36.8402815
150,대학교,청주대학교,"충청북도 청주시 청원구 대성로 298 (내덕동, 청주대학교)",127.4977533,36.6589463
151,대학교,총신대학교,"서울특별시 동작구 사당로 143 (사당동, 총신대학교)",126.9668503,37.4886538
152,대학교,추계예술대학교,"서울특별시 서대문구 북아현로11가길 7 (북아현동, 추계예술대학교)",126.9533445,37.5626545
153,대학교,침례신학대학교,"대전광역시 유성구 북유성대로 190 (하기동, 침례신학대학교)",127.3254904,36.385622
154,대학교,칼빈대학교,"경기도 용인시 기흥구 마북로 184 (마북동, 칼빈대학교)",127.1283761,37.3048848
155,대학교,평택대학교,"경기도 평택시 서동대로 3825 (용이동, 평택대학교)",127.1332389,36.9950831
156,대학교,차의과학대학교,"경기도 포천시 해룡로 120 (동교동, 포천중문의과대학)",127.1376461,37.8567526
157,대학교,포항공과대학교,"경상북도 포항시 남구 청암로 77 (지곡동, 포항공과대학교)",129.3214732,36.0150918
158,대학교,한국기술교육대학교,"충청남도 천안시 동남구 병천면 충절로 1600 (가전리, 한국기술교육대학교)",127.2813441,36.7638435
159,대학교,한국성서대학교,"서울특별시 노원구 동일로214길 32 (상계동, 한국성서대학교)",127.0644366,37.6488432
160,대학교,한국외국어대학교,"서울특별시 동대문구 이문로 107 (이문동, 한국외국어대학교)",127.0581824,37.5975697
161,대학교,한국항공대학교,"경기도 고양시 덕양구 항공대학로 76 (화전동, 한국항공대학교)",126.8653292,37.5999368
162,대학교,한남대학교,"대전광역시 대덕구 한남로 70 (오정동, 한남대학교)",127.4258475,36.3542606
163,대학교,한동대학교,"경상북도 포항시 북구 흥해읍 한동로 558 (남송리, 한동대학교)",129.3876654,36.1035831
164,대학교,한라대학교,"강원도 원주시 흥업면 한라대길 28 (흥업리, 한라대학교)",127.9082015,37.302535
165,대학교,한림대학교,"강원도 춘천시 한림대학길 1 (옥천동, 한림대학교)",127.7344971,37.8856325
166,대학교,한서대학교,"충청남도 서산시 해미면 한서1로 46 (대곡리, 한서대학교)",126.584681,36.6907685
167,대학교,한성대학교,"서울특별시 성북구 삼선교로16길 116 (삼선동2가, 한성대학교)",127.0102166,37.5827516
168,대학교,한세대학교,"경기도 군포시 한세로 30 (당정동, 한세대학교)",126.9534205,37.3446909
169,대학교,한신대학교,"경기도 오산시 한신대길 137 (양산동, 한신대학교)",127.022639,37.1937387
170,대학교,한양대학교,"서울특별시 성동구 왕십리로 222 (사근동, 한양대학교)",127.045004,37.5601067
171,대학교,한양대학교,"경기도 안산시 상록구 한양대학로 55 (사동, 한양대학교)",126.8355331,37.2974639
172,대학교,서울한영대학교,"서울특별시 구로구 경인로 290-42 (개봉동, 한영신학대학교)",126.8513006,37.4965431
173,대학교,한일장신대학교,"전라북도 완주군 상관면 왜목로 726-15 (신리, 한일장신대학교)",127.2064726,35.7633357
174,대학교,협성대학교,"경기도 화성시 봉담읍 최루백로 72 (상리, 협성대학교)",126.9527265,37.2124336
175,대학교,호남대학교,"광주광역시 광산구 호남대길 100 (서봉동, 호남대학교광산캠퍼스)",126.7669222,35.1504986
176,대학교,호남신학대학교,"광주광역시 남구 제중로 77 (양림동, 호남신학대학교)",126.9124511,35.1385788
177,대학교,호서대학교,"충청남도 아산시 배방읍 호서로79번길 20 (세출리, 호서대학교)",127.0744537,36.7362442
178,대학교,홍익대학교,"서울특별시 마포구 와우산로 94 (상수동, 홍익대학교)",126.9257137,37.5509272
179,대학교,홍익대학교 세종캠퍼스,"세종특별자치시 조치원읍 세종로 2639 (신안리, 홍익대학교세종캠퍼스)",127.2872455,36.6209237
180,대학교,꽃동네대학교,"충청북도 청주시 서원구 현도면 상삼길 133 (상삼리, 꽃동네대학교)",127.4016078,36.5221673
181,대학교,남부대학교,"광주광역시 광산구 첨단중앙로 23 (월계동, 남부대학교)",126.8410433,35.2078275
182,대학교,예원예술대학교,"전라북도 임실군 신평면 창인로 117 (창인리, 예원예술학교)",127.2707659,35.6470289
183,대학교,예원예술대학교,"경기도 양주시 은현면 화합로1134번길 110 (용암리, 예원예술대학교양주캠퍼스)",127.037082,37.8466749
184,대학교,목포가톨릭대학교,"전라남도 목포시 영산로 697 (석현동, 목포가톨릭대학교)",126.4194447,34.8268192
185,대학교,부산장신대학교,경상남도 김해시 김해대로 1894-68 (구산동),128.861627,35.2566491
186,대학교,금강대학교,"충청남도 논산시 상월면 상월로 522 (대명리, 금강대학교)",127.1956787,36.3058254
187,대학교,예수대학교,"전라북도 전주시 완산구 서원로 383 (중화산동1가, 예수대학교)",127.1343693,35.815475
188,대학교,한국국제대학교,"경상남도 진주시 문산읍 동부로 965 (상문리, 한국국제대학교)",128.2031239,35.1731081
189,대학교,광주대학교,"광주광역시 남구 효덕로 277 (진월동, 광주대학교)",126.8954017,35.1066687
190,대학교,신경대학교,"경기도 화성시 남양읍 남양중앙로 400-5 (남양리, 신경대학교)",126.8400091,37.202733
191,대학교,동명대학교,"부산광역시 남구 신선로 428 (용당동, 동명대학교)",129.1022334,35.1223924
192,대학교,영산대학교,"경상남도 양산시 주남로 288 (주남동, 영산대학교양산캠퍼스)",129.1463708,35.4290407
193,대학교,영산대학교,"부산광역시 해운대구 반송순환로 142 (반송동, 영산대학교해운대캠퍼스)",129.1567248,35.2238391
194,대학교,대전신학대학교,"대전광역시 대덕구 한남로 41 (오정동, 대전신학대학교)",127.4236504,36.3500141
195,대학교,중원대학교,"충청북도 괴산군 괴산읍 문무로 85 (동부리, 중원대학교)",127.7982176,36.8188598
196,대학교,우송대학교(본교),"대전광역시 동구 동대전로 171 (자양동, 우송정보대학,우송대서캠퍼스)",127.4451992,36.3372012
197,대학교,김천대학교,"경상북도 김천시 대학로 214 (삼락동, 김천대학교)",128.0795801,36.1384512
198,대학교,한려대학교,"전라남도 광양시 광양읍 한려대길 94-13 (덕례리, 한려대학교)",127.5639602,34.9564625
199,대학교,송원대학교,"광주광역시 남구 송암로 73 (송하동, 송원대학)",126.8729874,35.1110144
200,대학교,경운대학교,"경상북도 구미시 산동면 강동로 730 (인덕리, 경운대학교)",128.4679747,36.1699915
201,대학교,남서울대학교,"충청남도 천안시 서북구 성환읍 대학로 91 (매주리, 남서울대학교)",127.1434158,36.9109905
202,대학교,초당대학교,"전라남도 무안군 무안읍 무안로 380 (성남리, 초당대학교)",126.474213,34.9779926
203,대학교,한국산업기술대학교,"경기도 시흥시 산기대학로 237 (정왕동, 한국산업기술대학교)",126.7335278,37.3404507
204,대학교,제주국제대학교,제주특별자치도 제주시 516로 2870 (영평동),126.5698191,33.440796
205,대학교,창신대학교,"경상남도 창원시 마산회원구 팔용로 262 (합성동, 창신대학)",128.5997672,35.2441413
